City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bonthe,7.5264,-12.505,27.01,84,93,3.1,SL,1701544434
jinchang,38.4953,102.1739,-0.83,22,17,1.26,CN,1701544434
vadso,70.0744,29.7487,1.09,93,100,1.54,NO,1701544434
ephraim,39.3597,-111.5863,3.23,60,60,3.9,US,1701544435
kita,13.0349,-9.4895,30.32,17,11,2.07,ML,1701544435
chonchi,-42.6128,-73.8092,11.56,63,80,3.81,CL,1701544435
pueblo nuevo,23.3833,-105.3833,17.52,41,100,2.35,MX,1701544436
shalkar,47.8288,59.6258,7.47,83,100,10.81,KZ,1701544436
happy valley-goose bay,53.3168,-60.3315,-7.83,62,20,4.12,CA,1701544437
bedford,52.1346,-0.4663,-1.3,96,45,3.14,GB,1701544430
effium,6.6292,8.0593,29.4,54,87,3.23,NG,1701544437
conde,-7.2597,-34.9075,28.7,65,20,5.66,BR,1701544437
adrar,20.5022,-10.0711,24.21,31,11,3.21,MR,1701544438
ceeldheer,3.8488,47.1806,26.6,69,100,7.52,SO,1701544438
mejit,10.2753,170.8646,27.7,74,96,6.62,MH,1701544439
nadi,-17.8,177.4167,27.0,74,20,2.57,FJ,1701544439
sully-sur-loire,47.7637,2.3724,-1.75,71,7,0.82,FR,1701544439
acajutla,13.5928,-89.8275,30.32,63,0,3.4,SV,1701544204
tazacorte,28.629,-17.9293,20.08,93,100,4.12,ES,1701544440
soufriere,13.8562,-61.0566,29.81,74,75,9.26,LC,1701544440
mahibadhoo,3.7833,72.9667,27.94,79,100,4.72,MV,1701544440
faya-largeau,17.9257,19.1043,25.19,14,12,5.3,TD,1701544441
vallenar,-28.5708,-70.7581,25.88,21,0,4.88,CL,1701544441
munsan,37.8594,126.785,-2.02,69,1,1.79,KR,1701544441
aykhal,66.0,111.5,-34.6,100,99,2.05,RU,1701544442
copiapo,-27.3667,-70.3333,29.05,23,0,4.78,CL,1701544159
neryungri,56.6709,124.6491,-24.74,96,96,1.55,RU,1701544443
vilyuysk,63.7553,121.6247,-41.54,100,100,1.24,RU,1701544443
uliastay,47.7417,96.8444,-12.38,67,66,3.15,MN,1701544444
najran,17.4924,44.1277,17.36,36,0,1.67,SA,1701544444
tolanaro,-25.0319,46.9987,21.11,63,100,3.47,MG,1701544444
hotan,37.0997,79.9269,1.61,35,5,0.68,CN,1701544445
labrador city,52.9463,-66.9114,-12.01,86,57,0.71,CA,1701544278
pandan,14.0453,124.1694,26.18,87,100,5.97,PH,1701544445
sisimiut,66.9395,-53.6735,-4.46,74,99,3.27,GL,1701544446
swakopmund,-22.6833,14.5333,17.77,83,89,2.24,NA,1701544446
hancheng,32.5186,112.3522,6.62,39,100,2.51,CN,1701544446
kongoussi,13.3258,-1.5347,29.79,14,52,4.02,BF,1701544447
vila franca do campo,37.7167,-25.4333,17.16,99,100,3.67,PT,1701544447
atafu village,-8.5421,-172.5159,26.94,69,100,1.11,TK,1701544447
cill airne,52.05,-9.5167,0.03,100,20,1.54,IE,1701544448
pangody,65.85,74.4859,-26.81,92,8,4.74,RU,1701544448
lewiston orchards,46.3804,-116.9754,6.04,86,100,0.0,US,1701544277
namdrik,5.5994,168.1028,28.0,78,39,8.36,MH,1701544449
ruteng,-8.6136,120.4721,17.28,93,100,0.72,ID,1701544449
alto araguaia,-17.3147,-53.2153,32.09,36,98,2.17,BR,1701544449
bandar abbas,27.1865,56.2808,23.99,73,0,2.06,IR,1701544450
motueka,-41.1333,173.0167,16.72,97,100,3.77,NZ,1701544450
pires do rio,-17.2997,-48.2794,34.14,31,22,3.59,BR,1701544451
brandon,27.9378,-82.2859,30.72,77,100,3.6,US,1701544243
navoiy,40.0844,65.3792,6.71,87,20,3.09,UZ,1701544451
tokar,18.4254,37.729,27.86,67,45,6.25,SD,1701544452
aliveri,38.4167,24.0333,20.62,82,100,4.79,GR,1701544452
coquimbo,-29.9533,-71.3436,19.85,59,0,6.69,CL,1701544398
hobyo,5.3505,48.5268,26.53,72,100,8.04,SO,1701544453
vuktyl,63.8567,57.3094,-8.83,94,100,1.34,RU,1701544453
sao felix do xingu,-6.6447,-51.995,35.37,34,100,2.34,BR,1701544453
kapuskasing,49.4169,-82.4331,-0.95,59,20,2.57,CA,1701544454
salmas,38.1973,44.7653,4.91,46,34,0.2,IR,1701544454
podgornoye,51.735,39.1496,-2.97,86,0,2.0,RU,1701544454
suihua,46.6406,126.9969,-21.28,100,99,2.96,CN,1701544455
sai buri,6.7013,101.6168,25.54,91,100,3.21,TH,1701544455
fort st. john,56.2499,-120.8529,-10.06,85,75,1.54,CA,1701544456
trairi,-3.2778,-39.2689,29.15,60,10,6.07,BR,1701544400
cho dok,10.7,105.1167,24.61,89,100,6.26,VN,1701544456
alice springs,-23.7,133.8833,19.75,64,4,0.0,AU,1701544457
salinopolis,-0.6136,-47.3561,29.15,68,11,4.27,BR,1701544457
villa gesell,-37.2639,-56.973,28.36,51,0,5.7,AR,1701544458
songling,31.1933,120.7176,7.08,40,100,0.89,CN,1701544458
kaoma,-14.7833,24.8,21.23,79,94,1.73,ZM,1701544458
dunhua,43.3725,128.2425,-12.91,91,7,2.24,CN,1701544459
fort bragg,35.139,-79.006,22.85,76,40,2.57,US,1701544459
chania,35.5122,24.0156,15.78,88,40,0.0,GR,1701544459
bodaybo,57.8506,114.1933,-7.71,96,100,1.44,RU,1701544460
garliava,54.8167,23.8667,-2.01,89,100,1.65,LT,1701544460
isla vista,34.4133,-119.861,20.01,49,0,3.09,US,1701544460
ad darb,17.7229,42.2526,27.78,62,0,0.21,SA,1701544461
cambria,35.5641,-121.0808,18.19,78,42,1.79,US,1701544461
sao vicente,-23.9631,-46.3919,35.71,26,11,0.89,BR,1701544267
vorgashor,67.5833,63.95,-13.95,94,96,2.39,RU,1701544298
angaur state,6.906,134.13,28.56,77,15,6.07,PW,1701544462
hargeysa,9.56,44.065,16.26,88,77,4.4,SO,1701544462
ciudad melchor muzquiz,27.8833,-101.5167,19.65,25,100,0.86,MX,1701544463
berdigestyakh,62.0989,126.6992,-33.58,100,99,1.06,RU,1701544463
plettenberg bay,-34.0527,23.3716,17.04,90,17,0.96,ZA,1701544463
wanganui,-39.9333,175.05,14.77,99,100,3.68,NZ,1701544205
bo phloi,14.3236,99.5161,23.25,89,100,2.98,TH,1701544464
i-n-salah,27.1935,2.4607,20.73,10,0,2.82,DZ,1701544464
basco,20.4487,121.9702,25.89,78,54,9.44,PH,1701544465
lata,40.1629,-8.3327,8.37,85,0,0.4,PT,1701544465
smirnykh,49.75,142.8333,-11.68,92,33,1.69,RU,1701544465
burang,30.25,81.1667,-11.24,52,0,1.34,CN,1701544466
folkston,30.8305,-82.0098,23.88,96,100,1.19,US,1701544466
gebeit,21.0667,36.3167,21.9,76,0,3.52,SD,1701544467
novodvinsk,64.4165,40.8122,-13.45,99,96,0.78,RU,1701544468
el calafate,-50.3408,-72.2768,8.96,48,39,10.74,AR,1701544468
seminole,28.7086,-81.2081,29.65,74,100,3.6,US,1701544468
geraldton,-28.7667,114.6,21.23,68,75,6.17,AU,1701544469
el granada,37.5027,-122.4694,16.79,90,75,3.6,US,1701544469
yelizovo,53.1873,158.3805,-7.33,78,20,2.0,RU,1701544469
zeya,53.75,127.2667,-16.4,91,44,1.34,RU,1701544470
feijo,-8.1642,-70.3536,30.88,61,100,1.28,BR,1701544470
tangalle,6.024,80.7911,26.09,92,79,4.66,LK,1701544471
boyolangu,-8.1181,111.8935,25.0,87,95,2.21,ID,1701544471
